#fluid,Tc,pc,rhoc
Acetone,508.1,4.70,4.70
CarbonMonoxide,132.86,3.494,10.85
CarbonylSulfide,378.77,6.37,7.41
Decane,617.7,2.103,1.64
HydrogenSulfide,373.1,9.000,10.19
Isopentane,460.35,3.378,3.271
Neopentane,433.74,3.196,3.27
Isohexane,497.7,3.04,2.715
Krypton,209.48,5.525,10.85
NitrousOxide,309.52,7.245,10.27
Nonane,594.55,2.281,1.81
SulfurDioxide,430.64,7.884,8.195
Toluene,591.75,4.126,3.169
Xenon,289.733,5.842,8.40
R116,293.03,3.048,4.444
R141b,477.5,4.212,3.921
R142b,410.26,4.055,4.438
R218,345.02,2.640,3.34
R245fa,427.16,3.651,3.85
R41,317.28,5.897,9.30
